Date,Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2011/1/10,PM10,90,85,78,72,68,51,34,45,36,26,26,31,33,29,34,35,28,35,27,28,29,21,24,23
2011/1/10,PM2.5,48,39,41,43,38,34,25,20,16,13,13,13,13,12,6,15,16,4,8,12,11,7,7,6
2011/1/10,SO2,9.8,10,15,14,12,10,8,9.7,14,13,6.3,10,8.4,9.4,10,11,10,11,11,11,9.8,9.8,8.9,8
2011/1/11,NO2,27,21,15,14,15,16,27,34,31,30,31,33,35,34,37,36,38,43,35,36,34,30,26,23
2011/1/11,O3,14,19,27,28,29,26,19,12,13,14,13,11,10,11,9.8,11,10,6.3,11,9.8,11,14,16,18
2011/1/11,PM10,26,20,16,20,27,28,22,27,38,45,22,64,58,35,40,37,32,44,45,30,33,39,35,33
2011/1/11,PM2.5,5,13,11,11,14,7,15,16,11,18,11,29,23,15,10,14,26,22,18,13,15,17,20,26
2011/1/11,SO2,8.2,8,6.8,6.2,7,7.3,6.8,7.4,7.9,8.2,8.9,9.2,9.1,8.4,7.9,7,7.6,8.7,9.4,10,8.5,8.2,8.1,8.4
2011/1/12,NO2,20,14,15,19,16,26,34,34,36,37,35,35,34,33,37,39,40,40,43,37,35,36,25,13
2011/1/12,O3,21,30,28,23,25,15,9.2,8.4,7.5,6.5,9.6,10,12,11,8.5,5.8,6.1,6.3,4.8,7.5,8.3,8.3,17,28
2011/1/12,PM10,30,35,26,32,42,33,38,50,59,55,62,76,82,89,89,96,114,117,104,96,96,98,94,87
2011/1/12,PM2.5,16,16,13,17,34,22,20,38,40,32,35,44,47,47,58,53,48,57,53,53,54,53,45,37
2011/1/12,SO2,9.2,7.2,7.6,11,10,16,16,15,15,14,13,13,13,13,14,15,15,14,14,14,13,14,12,9.5
2011/1/13,NO2,9.9,9.7,7.4,7.3,10,12,21,27,26,26,31,30,28,28,25,29,39,43,43,46,44,45,46,46
2011/1/13,O3,30,31,34,35,33,32,25,19,20,21,17,15,19,20,25,20,10,6.8,6.5,4.7,5,3,2.5,2.4
2011/1/13,PM10,80,70,72,72,65,69,64,51,62,62,60,65,68,73,64,59,65,60,61,72,76,69,70,79
2011/1/13,PM2.5,42,36,29,33,34,38,37,40,42,29,28,31,34,37,26,21,15,20,32,37,28,32,50,45
